Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,61.389290,62.567181,61.162491,62.494019,41.888500,1765971
2011-01-04,62.750080,62.808609,61.206387,61.455132,41.192146,1704873
2011-01-05,61.235649,62.113583,61.111279,61.681931,41.344162,1143644
2011-01-06,61.601456,61.828255,60.964954,61.272232,41.069557,2138165
2011-01-07,61.594139,61.696564,60.555256,61.213703,41.030319,1945849
2011-01-10,60.723526,61.345390,60.416248,61.023483,40.902828,1903066
2011-01-11,61.403919,61.477081,60.079708,60.774738,40.736092,954472
2011-01-12,61.806305,62.340382,61.177120,61.491714,41.216667,1555203
2011-01-13,61.572189,61.740459,61.125908,61.725830,41.373581,995204
2011-01-14,61.557560,63.035408,61.360023,63.035408,42.251389,1646372
2011-01-18,63.123199,63.723122,62.552547,63.642643,42.658390,1367944
2011-01-19,63.379265,63.562168,62.376961,62.633022,41.981670,1058489
2011-01-20,62.435490,63.503639,62.435490,63.306103,42.432823,1202009
2011-01-21,63.518269,63.518269,62.867138,63.364632,42.472046,1018577
2011-01-24,63.210995,63.701172,62.779346,63.196362,42.359261,1312450
2011-01-25,63.101254,63.788963,62.654972,63.759701,42.736851,1068057
2011-01-26,63.569485,63.891392,63.167099,63.730438,43.058159,1452552
2011-01-27,63.979183,64.901009,63.810913,64.864433,43.824318,1483170
2011-01-28,64.798584,65.083916,63.510956,63.781651,43.092751,1334593
2011-01-31,64.052345,64.769318,63.935287,64.447411,43.542561,1300832
2011-02-01,64.835167,64.996117,63.920654,64.571785,43.626587,1542628
2011-02-02,64.293777,64.674210,63.628010,63.693855,43.033436,1199412
2011-02-03,63.518269,63.920654,63.064674,63.730438,43.058159,1157996
2011-02-04,63.913338,63.913338,63.020775,63.079304,42.618217,1556570
2011-02-07,63.262207,64.059662,63.108570,63.818230,43.117470,1071338
2011-02-08,63.818230,64.132820,63.532902,63.649960,43.003777,1214174
2011-02-09,63.306103,64.381569,63.306103,64.301094,43.443703,1131752
2011-02-10,63.979183,64.893692,63.979183,64.601051,43.646362,1183830
2011-02-11,64.396202,65.361923,64.337669,65.105858,43.987438,1374642
2011-02-14,65.171707,65.354607,64.301094,64.893692,43.844086,987003
2011-02-15,64.505943,65.478981,64.323036,64.901009,43.849022,1172485
2011-02-16,65.120491,65.515564,64.293777,64.520576,43.591988,1770755
2011-02-17,64.396202,64.988808,64.323036,64.798584,43.779827,884763
2011-02-18,65.193657,65.727730,65.076599,65.720413,44.402634,1510507
2011-02-22,64.966858,65.647247,64.798584,65.252182,44.086285,1862061
2011-02-23,65.303398,65.727730,63.884075,64.564468,43.621658,1714031
2011-02-24,64.198669,64.747375,63.679222,64.264511,43.418987,1404986
2011-02-25,64.557152,65.859421,64.162086,65.830154,44.476776,1605366
2011-02-28,66.013054,68.310310,65.859421,68.281044,46.132668,2120122
2011-03-01,68.427368,68.427368,66.269119,66.708084,45.069931,2099893
2011-03-02,66.569077,66.971466,65.486298,65.588722,44.313671,2159214
2011-03-03,65.954529,66.569077,65.596039,65.815521,44.466896,1603999
2011-03-04,65.691147,65.888680,64.257195,64.608368,43.651302,1543721
2011-03-07,64.835167,65.230232,63.957233,64.103554,43.310238,1232763
2011-03-08,64.271828,65.142441,64.140137,64.505943,43.582104,1484400
2011-03-09,64.513260,65.339973,63.927971,64.959541,43.888569,1077625
2011-03-10,64.045029,64.388885,63.708488,63.854809,43.142178,1209253
2011-03-11,63.788963,64.740059,63.401215,64.674210,43.695793,1131479
2011-03-14,64.198669,64.352303,63.606064,64.103554,43.310238,1128745
2011-03-15,62.172112,64.132820,62.172112,63.635326,42.993877,1346621
2011-03-16,63.540218,63.540218,61.981892,62.237953,42.049782,2012688
2011-03-17,63.137833,63.320736,62.201374,62.954929,42.534187,1350175
2011-03-18,63.708488,63.708488,62.764713,62.881771,42.484756,1977150
2011-03-21,63.708488,63.993816,63.189045,63.503639,42.904919,1166744
2011-03-22,63.518269,63.913338,62.764713,62.779346,42.415569,1133119
2011-03-23,62.559864,62.691551,61.572189,61.879467,41.807579,1480710
2011-03-24,62.142845,62.325748,61.630718,62.018471,41.901493,1592518
2011-03-25,62.098949,62.845188,62.033104,62.589127,42.287041,1537434
2011-03-28,62.625706,62.676922,62.077000,62.274536,42.074501,1863291
2011-03-29,62.186741,62.691551,61.681931,62.369644,42.138752,1948993
2011-03-30,62.713501,63.591431,62.479385,63.540218,42.929634,1575569
2011-03-31,63.401215,64.301094,63.262207,64.015762,43.250916,1501349
2011-04-01,64.374252,64.710793,64.001129,64.381569,43.498074,2409485
2011-04-04,64.410835,64.593735,64.096245,64.403519,43.512905,1427129
2011-04-05,64.176720,65.054649,64.147453,64.652267,43.680962,1309580
2011-04-06,65.091232,65.091232,64.388885,64.813217,43.789711,1149658
2011-04-07,64.630318,64.637634,63.540218,64.315727,43.453594,1715808
2011-04-08,64.586418,64.776634,63.796280,64.045029,43.270706,1346895
2011-04-11,64.081612,64.952225,64.081612,64.637634,43.671082,1627236
2011-04-12,64.249878,64.974174,64.213295,64.505943,43.582104,1340061
2011-04-13,64.688843,64.805901,63.971867,64.257195,43.414047,1464581
2011-04-14,63.979183,65.654572,63.957233,65.559456,44.293892,1506680
2011-04-15,65.698463,66.488602,65.442398,66.408127,44.867271,1816408
2011-04-18,65.574089,65.778938,65.076599,65.603355,44.323551,1494378
2011-04-19,65.596039,66.261803,65.391190,66.210587,44.733803,1520758
2011-04-20,67.095840,67.095840,66.144745,66.876350,45.183609,1154032
2011-04-21,66.986092,67.476273,66.547127,67.468956,45.584000,915927
2011-04-25,67.564064,68.617584,67.249474,68.332253,46.167271,1368764
2011-04-26,68.588318,69.115074,68.098145,68.976074,46.602268,1640221
2011-04-27,69.217499,69.693047,68.734642,69.627205,47.042175,1658263
2011-04-28,69.634521,71.163582,69.510147,70.673401,47.749020,2451720
2011-04-29,70.753883,70.848991,69.751579,70.731934,47.788574,1581720
2011-05-02,71.097733,71.522072,70.175911,70.848991,47.867641,1171665
2011-05-03,70.841675,71.646446,69.115074,70.132011,47.383240,2077613
2011-05-04,70.241753,70.651459,69.195557,69.539413,46.982864,1790711
2011-05-05,68.807800,69.312614,68.376152,68.917542,46.903194,1875593
2011-05-06,69.663780,69.663780,68.698059,68.771217,46.803608,2019112
2011-05-09,68.800484,69.649155,68.698059,69.349190,47.196957,1076668
2011-05-10,69.663780,70.600243,69.546722,70.600243,48.048401,1647875
2011-05-11,70.358810,70.461235,69.554039,69.619888,47.381195,1469091
2011-05-12,69.341873,69.890579,68.698059,69.875954,47.555466,1938058
2011-05-13,69.941795,69.941795,69.034599,69.341873,47.191990,1655256
2011-05-16,69.283348,70.292969,69.093132,69.817421,47.515617,1148428
2011-05-17,69.641838,70.161278,69.093132,69.758888,47.475807,1301789
2011-05-18,69.912529,70.797775,69.363823,70.666084,48.093189,1129839
2011-05-19,70.958733,71.339165,70.431976,71.046524,48.352119,951465
2011-05-20,70.958733,71.207481,69.971062,70.183228,47.764580,1282653
2011-05-23,69.378456,69.824738,69.122391,69.151657,47.062534,1341154
