Month,Brooklyn,Manhattan,NYC,Queens
2005-01-01,604670,829313,572085,505465
2005-02-01,616685,831225,572564,500709
2005-03-01,638031,838589,578471,497494
2005-04-01,650668,846394,583939,503137
2005-05-01,654434,862633,593713,514758
2005-06-01,677442,881548,605499,515193
2005-07-01,685800,897971,615792,523354
2005-08-01,691383,912974,624043,531172
2005-09-01,696287,927280,631059,535073
2005-10-01,693655,936110,635468,540750
2005-11-01,698387,944719,642629,547618
2005-12-01,697851,943432,642253,548099
2006-01-01,694264,944906,643083,553310
2006-02-01,705572,946734,647203,558654
2006-03-01,706223,942935,645200,557114
2006-04-01,707626,946129,646994,556994
2006-05-01,718013,948275,650309,560089
2006-06-01,724531,955030,654496,563593
2006-07-01,734487,963511,662456,570678
2006-08-01,739842,967026,667385,579277
2006-09-01,751060,973272,671702,579763
2006-10-01,748777,973592,673082,583871
2006-11-01,750545,976707,675948,585606
2006-12-01,757874,972708,675686,583694
2007-01-01,758522,968891,672995,581837
2007-02-01,749149,960224,666490,580094
2007-03-01,743403,950048,660041,575972
2007-04-01,742631,966286,661832,572503
2007-05-01,737499,977874,661756,566981
2007-06-01,735111,992505,663914,567765
2007-07-01,732433,999678,663823,565869
2007-08-01,730780,1008762,664079,562410
2007-09-01,729805,1014313,664595,558910
2007-10-01,728057,1021896,664902,559365
2007-11-01,729278,1029279,664482,552602
2007-12-01,729614,1029543,663925,549198
2008-01-01,725025,1026802,658786,541514
2008-02-01,717592,1031550,657007,539442
2008-03-01,712740,1033107,653597,535182
2008-04-01,703112,1029040,648102,530528
2008-05-01,700268,1035569,648121,528752
2008-06-01,697377,1040143,647405,526401
2008-07-01,696856,1042419,646416,522719
2008-08-01,697273,1038393,643257,516598
2008-09-01,693958,1034218,640482,514899
2008-10-01,692644,1031430,637766,513968
2008-11-01,682456,1023475,630979,510278
2008-12-01,670264,1010916,622480,505727
2009-01-01,651450,996937,611903,499170
2009-02-01,641201,981806,601217,490196
2009-03-01,639246,972842,595567,484033
2009-04-01,631268,947016,585771,480266
2009-05-01,631757,936388,581809,479607
2009-06-01,622098,922023,573329,473311
2009-07-01,622425,912002,568702,466910
2009-08-01,618245,902369,564270,463429
2009-09-01,614042,902105,561132,459417
2009-10-01,608089,898440,558374,457643
2009-11-01,600983,891320,555419,454941
2009-12-01,591434,888759,553587,455591
2010-01-01,590271,889435,551712,452424
2010-02-01,589937,889697,548583,447168
2010-03-01,583013,887300,546649,446785
2010-04-01,582034,888803,545446,444396
2010-05-01,582400,890641,546308,446433
2010-06-01,585370,893776,547963,447272
2010-07-01,579450,895825,544088,444282
2010-08-01,575595,899491,542504,443000
2010-09-01,573220,902129,541463,441638
2010-10-01,574725,898079,538969,438395
2010-11-01,571261,899052,537099,436383
2010-12-01,562504,897290,534116,434167
2011-01-01,560462,900146,534386,435548
2011-02-01,564521,895190,533176,431653
2011-03-01,566304,889441,532510,432196
2011-04-01,564979,891092,531381,429911
2011-05-01,560003,894915,531019,432625
2011-06-01,562081,894870,531445,433270
2011-07-01,564648,897693,532171,433993
2011-08-01,564184,897281,531030,431259
2011-09-01,558313,902284,530062,429492
2011-10-01,554472,901519,526818,423434
2011-11-01,557240,893337,525989,422901
2011-12-01,555940,900871,526717,424789
2012-01-01,557412,900130,525006,422537
2012-02-01,558825,897257,524470,422796
2012-03-01,557872,900509,523989,422680
2012-04-01,560552,891892,522865,423135
2012-05-01,557383,899112,523360,421908
2012-06-01,557130,905315,524277,419518
2012-07-01,551578,915156,523224,415657
2012-08-01,550219,921789,523581,411731
2012-09-01,550270,923198,525007,414536
2012-10-01,557124,921023,525352,413337
2012-11-01,553979,922964,524938,413442
2012-12-01,553427,930042,526413,414613
2013-01-01,555390,929558,526005,413670
2013-02-01,554519,931158,525220,413919
2013-03-01,549914,937556,524137,410160
2013-04-01,561551,945292,529208,412458
2013-05-01,572331,952398,533095,412103
2013-06-01,574199,960026,534901,410764
2013-07-01,581965,973393,539644,412426
2013-08-01,583026,981324,542124,414928
2013-09-01,587995,988934,544135,415371
2013-10-01,590695,996469,546047,415983
2013-11-01,586844,1007305,545907,418061
2013-12-01,583746,1013597,544956,416859
2014-01-01,591921,1018537,550020,421979
2014-02-01,592184,1028013,552394,422635
2014-03-01,593180,1033642,553035,424117
2014-04-01,600092,1038923,555254,423748
2014-05-01,608221,1045180,561077,425898
2014-06-01,613240,1055615,563898,426564
2014-07-01,622030,1064605,569623,430115
2014-08-01,628109,1070251,571695,429335
2014-09-01,626137,1072074,570818,428050
2014-10-01,631623,1076184,573760,430558
2014-11-01,637169,1081401,574216,429929
2014-12-01,637152,1082516,574752,432800
2015-01-01,643565,1091014,578032,434442
2015-02-01,658632,1088965,581031,436401
2015-03-01,660893,1090585,580533,433530
2015-04-01,656626,1090666,580337,433076
2015-05-01,662889,1101245,584644,435511
2015-06-01,663314,1107628,586477,439190
2015-07-01,670293,1117131,593035,445155
2015-08-01,674266,1126011,596687,446974
2015-09-01,680971,1130673,600487,450936
2015-10-01,678588,1132186,600068,453851
2015-11-01,686192,1145363,602948,455784
2015-12-01,692502,1146202,604586,455389
2016-01-01,687318,1151461,604500,453250
2016-02-01,680463,1149376,603755,456978
2016-03-01,689557,1139257,602354,454907
2016-04-01,685848,1138902,600429,456041
2016-05-01,688294,1141251,601881,458701
2016-06-01,690852,1145370,601644,458719
2016-07-01,695824,1149486,604560,458369
2016-08-01,692454,1148385,603744,457828
2016-09-01,689469,1148083,603133,460212
2016-10-01,683695,1146355,603134,465298
2016-11-01,687019,1148599,603595,465643
2016-12-01,691997,1148138,605631,467827
2017-01-01,694570,1156353,609566,472306
2017-02-01,695772,1148512,608493,471442
2017-03-01,705109,1145010,610203,469400
2017-04-01,707255,1151673,613755,470326
2017-05-01,709389,1154568,615110,472386
2017-06-01,711952,1160671,616240,474604
2017-07-01,713174,1159230,616955,477597
2017-08-01,707351,1159739,617491,480766
2017-09-01,703194,1161008,621062,488118
2017-10-01,701431,1165645,620344,486433
2017-11-01,692423,1166935,619430,490575
2017-12-01,689487,1162135,619177,491733
2018-01-01,702104,1165771,623662,495660
2018-02-01,699301,1156366,622125,498637
2018-03-01,704694,1158586,624556,500005
2018-04-01,703536,1160855,625323,501710
2018-05-01,700967,1156876,624639,504576
2018-06-01,702717,1153787,624296,505510
2018-07-01,709737,1152555,626166,507520
2018-08-01,703640,1154202,627780,508153
2018-09-01,697319,1144234,626652,509471
2018-10-01,695081,1139285,625408,508377
2018-11-01,697527,1135197,625981,508484
2018-12-01,692403,1128623,624241,509970
2019-01-01,691352,1120831,623164,506672
2019-02-01,693786,1113217,623267,508674
2019-03-01,699112,1110283,623496,506644
2019-04-01,700464,1105174,623116,507154
2019-05-01,699511,1106072,625107,511030
2019-06-01,694222,1108851,622420,508319
2019-07-01,691128,1106236,621608,506959
2019-08-01,685591,1098275,619309,504717
2019-09-01,691878,1094741,620375,504627
2019-10-01,692266,1091991,619585,504129
2019-11-01,692133,1092354,620145,503113
2019-12-01,690646,1084410,620338,503639
2020-01-01,699395,1084640,624533,508011
2020-02-01,700418,1077236,620942,507313
2020-03-01,698586,1071845,622593,511149
2020-04-01,690289,1075382,617895,507526
2020-05-01,681968,1071648,610640,502199
2020-06-01,683358,1064643,611644,506614
2020-07-01,686426,1061691,610644,505680
2020-08-01,682188,1052942,611235,504888
2020-09-01,680116,1049564,612335,506897
2020-10-01,681424,1045859,611329,507095
2020-11-01,677784,1033718,610482,509180
2020-12-01,675176,1034892,610759,510712
