areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12
All Downtown,Manhattan,submarket,0.902,0.896,0.900,0.912,0.931,0.931,0.936,0.929,0.933,0.936,0.932,0.930,0.919,0.921,0.925,0.945,0.955,0.947,0.951,0.945,0.952,0.952,0.944,0.941,0.944,0.944,0.932,0.946,0.948,0.951,0.960,0.965,0.956,0.968,0.968,0.963,0.973,0.962,0.977,0.980,0.979,0.982,0.991,1.000,0.991,0.996,0.984,0.988,0.990,0.978,0.981,0.989,0.993,1.000,0.986,0.990,0.990,0.983,0.995,0.988,0.983,0.979,0.977,0.984,1.000,0.994,1.000,0.994,1.000,0.992,0.984,0.982,1.000,0.987,0.984,0.983,0.987,0.986,0.977,0.966,0.971,0.977,0.968,0.967,0.977,0.977,0.976,0.968,0.982,0.981,0.970,0.974,0.972,0.973,0.962,0.958,0.957,0.961,0.954,0.951,0.964,0.965,0.963,0.956,0.968,0.938,0.948,0.939,0.946,0.934,0.946,0.946,0.956,0.958,0.967,0.956,0.949,0.944,0.940,0.924,0.926,0.918,0.933,0.909,0.922,0.922,0.881,0.898,0.864,0.883,0.911,0.949
All Midtown,Manhattan,submarket,0.900,0.904,0.915,0.897,0.906,0.917,0.919,0.907,0.916,0.905,0.915,0.929,0.911,0.907,0.909,0.923,0.918,0.927,0.931,0.918,0.919,0.924,0.921,0.926,0.934,0.917,0.919,0.924,0.930,0.935,0.938,0.938,0.950,0.936,0.944,0.943,0.947,0.945,0.963,0.953,0.964,0.963,0.968,0.968,0.973,0.974,0.970,0.973,0.974,0.968,0.975,0.967,0.978,0.980,0.977,0.979,0.980,0.970,0.969,0.974,0.972,0.975,0.967,0.974,0.990,0.988,0.985,0.979,0.986,0.975,0.981,0.975,0.980,0.966,0.978,0.975,0.985,0.975,0.975,0.981,0.965,0.977,0.972,0.964,0.959,0.968,0.957,0.964,0.963,0.963,0.960,0.962,0.969,0.966,0.962,0.956,0.969,0.962,0.944,0.955,0.955,0.959,0.963,0.951,0.951,0.948,0.955,0.944,0.930,0.939,0.921,0.924,0.941,0.945,0.936,0.945,0.934,0.947,0.945,0.932,0.912,0.911,0.911,0.926,0.936,0.917,0.906,0.876,0.876,0.861,0.865,
All Upper East Side,Manhattan,submarket,0.885,0.897,0.918,0.918,0.919,0.920,0.923,0.920,0.926,0.915,0.906,0.915,0.914,0.911,0.907,0.906,0.916,0.920,0.920,0.914,0.929,0.919,0.913,0.912,0.907,0.919,0.922,0.933,0.929,0.933,0.933,0.927,0.931,0.932,0.939,0.937,0.944,0.946,0.960,0.957,0.958,0.971,0.970,0.973,0.971,0.985,0.987,0.976,0.971,0.969,0.970,0.973,0.976,0.974,0.980,0.988,0.972,0.977,0.973,0.981,0.969,0.970,0.968,0.968,0.982,0.988,1.000,0.986,0.985,0.973,0.975,0.983,1.000,0.981,0.978,0.979,0.974,0.977,0.972,0.976,0.973,0.970,0.961,0.969,0.962,0.966,0.964,0.955,0.974,0.971,0.978,0.982,0.969,0.968,0.958,0.964,0.965,0.959,0.956,0.949,0.962,0.961,0.962,0.962,0.944,0.946,0.923,0.928,0.932,0.937,0.930,0.926,0.939,0.939,0.941,0.937,0.939,0.932,0.916,0.925,0.924,0.916,0.921,0.916,0.913,0.912,0.902,0.913,0.883,0.878,0.866,
All Upper Manhattan,Manhattan,submarket,0.904,0.911,0.930,0.909,0.920,0.922,0.936,0.932,0.940,0.918,0.948,0.935,0.922,0.925,0.890,0.894,0.909,0.925,0.948,0.946,0.965,0.974,0.974,0.950,0.938,0.940,0.937,0.952,0.939,0.962,0.972,0.953,0.951,0.939,0.962,0.939,0.951,0.950,0.956,0.945,0.972,0.974,0.980,0.979,0.978,0.981,0.988,0.976,0.992,1.000,0.990,0.983,0.996,1.000,0.998,1.000,0.993,0.989,1.000,0.990,1.000,0.989,0.988,1.000,1.000,1.014,1.005,1.000,1.014,1.000,1.000,1.000,1.011,1.000,0.994,0.994,1.000,1.000,0.993,0.994,0.993,1.000,1.000,0.988,0.976,0.986,0.976,0.972,0.985,1.000,1.000,1.000,0.985,0.987,0.995,0.981,0.985,0.958,0.976,0.978,0.975,0.989,0.980,0.981,0.983,0.978,0.962,0.969,0.954,0.951,0.960,0.947,0.970,0.979,0.958,0.954,0.967,0.959,0.966,0.971,0.972,0.954,0.966,0.908,0.918,0.938,0.930,0.942,0.959,,,
All Upper West Side,Manhattan,submarket,0.920,0.930,0.944,0.927,0.940,0.948,0.935,0.946,0.933,0.927,0.928,0.937,0.938,0.935,0.930,0.938,0.937,0.963,0.964,0.960,0.940,0.942,0.948,0.939,0.937,0.946,0.950,0.950,0.944,0.950,0.961,0.958,0.958,0.960,0.958,0.960,0.967,0.965,0.967,0.970,0.987,0.988,0.986,0.987,0.987,0.996,0.991,0.984,0.988,0.982,0.982,0.988,0.987,1.000,0.983,0.991,1.000,0.982,0.983,0.977,0.980,0.977,0.975,0.995,0.980,1.000,0.995,1.000,1.000,1.002,1.018,1.000,1.000,0.979,0.978,0.980,0.968,0.983,0.985,0.986,0.987,0.978,0.967,0.981,0.975,0.965,0.959,0.969,0.960,0.975,0.987,0.977,0.982,0.973,0.973,0.966,0.979,0.975,0.959,0.954,0.967,0.960,0.968,0.962,0.956,0.946,0.947,0.940,0.941,0.948,0.932,0.937,0.957,0.945,0.963,0.964,0.948,0.944,0.940,0.919,0.935,0.934,0.930,0.937,0.905,0.918,0.919,0.901,0.917,0.920,,
Astoria,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,0.945,,0.940,,0.955,0.972,0.942,0.954,0.953,0.923,0.911,0.975,0.959,,,,,0.964,,,,,,,,,0.973,,0.961,,,,,,0.999,1.000,,0.972,0.988,0.982,,,,,,,,,,0.995,1.000,0.965,0.945,,0.955,,0.952,,,0.978,0.978,0.998,0.993,0.974,0.962,0.963,0.972,,,0.945,0.971,0.963,0.930,0.974,0.971,0.976,0.937,0.974,0.942,,0.974,0.954,,0.922,0.977,0.942,,0.938,0.953,0.958,0.940,0.991,0.960,,0.956,0.944,0.910,0.969,0.961,0.955,0.981,,,,,,,,,,,
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Park City,Manhattan,neighborhood,,,,,0.816,,,0.846,0.895,0.946,,0.943,,,0.903,0.998,1.014,1.000,0.936,0.973,,0.898,,,,,0.922,0.973,0.992,0.969,0.957,0.976,0.950,0.982,0.997,0.987,0.996,0.987,1.000,0.997,0.982,0.980,1.000,1.000,0.984,0.984,0.968,0.984,0.988,1.000,1.000,0.989,0.983,0.971,0.968,1.000,,0.957,0.971,0.958,,,,,,0.975,1.018,0.993,1.018,1.018,1.000,1.018,1.000,,1.018,0.997,0.964,0.959,0.959,0.928,0.953,0.958,0.936,0.968,0.965,,,,0.962,0.979,0.952,0.974,,,0.965,0.958,0.924,,0.971,0.973,0.980,0.951,0.942,,,0.934,,,,,,0.943,,,,,0.908,,,0.920,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,,,,,,0.872,,,,,,,,,,,,,0.845,,,,,,,,,,,0.924,,0.906,,,,,,,,,,0.931,,0.928,0.963,0.908,,,,,,0.938,0.980,0.957,0.971,0.972,0.980,0.952,,0.971,0.955,,0.968,0.980,0.962,,,,0.958,0.969,0.958,0.996,0.958,,0.992,,0.974,0.968,0.984,1.008,0.989,0.977,0.956,0.984,0.937,0.973,0.951,0.979,0.969,0.958,0.973,0.991,0.970,0.962,0.968,0.986,0.954,0.936,0.963,0.961,0.973,0.936,0.991,0.948,0.963,0.942,0.926,0.942,0.936,0.913,0.948,0.934,0.922,0.936,0.941,0.931,0.964,0.933,0.911,0.953,0.926,0.911,0.930,0.927,,,,,,,,
